Iteration,BestCost,BestPath,TimeConsumed
0,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,9
1,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,9
2,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,6
3,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,3
4,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,2
5,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,2
6,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,5
7,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,2
8,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,1
9,8355,29 41 20 31 38 32 3 43 35 16 10 15 9 45 17 23 36 27 22 13 11 5 47 25 30 1 26 39 21 8 19 42 12 0 6 14 33 48 24 28 49 2 34 4 7 18 37 44 40 46 ,1
